billing_code,description,plain_language_description
J0702,BETAMETHASONE ACET&SOD PHOSP,Injection to treat reaction to a drug
J1745,INFLIXIMAB NOT BIOSIMIL 10MG,A biologic medication
G0102,Prostate cancer screening; digital rectal examination,Prostate cancer screening; digital rectal examination
G0103,Prostate cancer screening; prostate specific antigen test (psa),Prostate cancer screening; prostate specific antigen test (psa)
G0121,Colon ca scrn; not hi risk ind,Colorectal cancer screening; colonoscopy on individual not meeting criteria for high risk
G0105,Colorectal ca scrn; hi risk ind,Colorectal cancer screening; colonoscopy on individual at high risk
S0285,Cnslt before screen colonosc,Colonoscopy consultation performed prior to a screening colonoscopy procedure
G0289,"Arthro, loose body + chondro","Arthroscopy, knee, surgical, for removal of loose body, foreign body, debridement/shaving of articular cartilage (chondroplasty) at the time of other surgical knee arthroscopy in a different compartment of the same knee"
G0120,Colon ca scrn; barium enema,"Colorectal cancer screening; alternative to g0105, screening colonoscopy, barium enema"
460,SPINAL FUSION (POSTERIOR),Spinal fusion except cervical
470,KNEE REPLACEMENT,Major joint replacement or reattachment of lower extremity
473,SPINAL FUSION (ANTERIOR),Cervical spinal fusion
743,HYSTERECTOMY,Uterine and adnexa procedures for non-malignancy
1960,Anesthesia for vaginal delivery,Anesthesia for vaginal delivery
1961,Anesthesia for cesarean delivery,Anesthesia for cesarean delivery
1967,Anesthesia for labor during planned vaginal delivery,Anesthesia for labor during planned vaginal delivery
1968,Anesthesia for cesarean delivery following labor,Anesthesia for cesarean delivery following labor
10005,FNA W IMAGE,"Fine needle aspiration biopsy, including ultrasound guidance; first lesion"
10021,FNA W/O IMAGE,Fine Needle Aspiration Biopsy without imaging
10040,ACNE SURGERY,"Incision and Drainage Procedures on the Skin, Subcutaneous and Accessory Structures"
10060,DRAINAGE OF SKIN ABSCESS,Incision and drainage of abscess; simple or single and complex or multiple
10140,DRAINAGE OF HEMATOMA/FLUID,"Incision and drainage of hematoma, seroma or fluid collection"
10160,PUNCTURE DRAINAGE OF LESION,"Puncture aspiration of abscess, hematoma, bulla, or cyst"
11000,DEBRIDE INFECTED SKIN,Removal of infected skin
11056,TRIM SKIN LESIONS 2 TO 4,Paring or cutting of benign hyperkeratotic lesion
11102,BIOPSY SKIN LESION,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); single lesion"
11103,BIOPSY SKIN ADD-ON,"Tangential biopsy of skin (e.g., for example, shave, scoop, saucerize, curette); each separate/additional lesion"
11200,REMOVAL OF SKIN TAGS <W/15,"Removal of skin tags, multiple fibrocutaneous tags, any area"
11401,EXC TR-EXT B9+MARG 0.6-1 CM,Under Excision-Benign Lesions Procedures on the Skin 0.6-1 CM
11422,EXC H-F-NK-SP B9+MARG 1.1-2,Under Excision-Benign Lesions Procedures on the Skin 1.1-2 CM
11602,EXC TR-EXT MAL+MARG 1.1-2 CM,Excision-Malignant Lesions
11721,DEBRIDE NAIL 6 OR MORE,Removal of 6 or more nails
11730,REMOVAL OF NAIL PLATE,Separation and removal of the entire nail plate or a portion of nail plate
